DATAFLOW,REF_AREA: Area,SDG_INDICATOR: SDG Indicator,SDG_SERIES: Series,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IRN: Iran (Islamic Rep. of),G04_04_01: 4.4.1 - ICT skills,"6152_443: Youth and adults with ICT skills, copying or moving a file or folder, both sexes (Percentage)",A: Annual,2015,29.6
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),IRN: Iran (Islamic Rep. of),G04_04_01: 4.4.1 - ICT skills,"6152_443: Youth and adults with ICT skills, copying or moving a file or folder, both sexes (Percentage)",A: Annual,2017,30
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),KAZ: Kazakhstan,G04_04_01: 4.4.1 - ICT skills,"6151_443: Youth and adults with ICT skills, copying or moving a file or folder, male (Percentage)",A: Annual,2015,23.5
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),KAZ: Kazakhstan,G04_04_01: 4.4.1 - ICT skills,"6151_443: Youth and adults with ICT skills, copying or moving a file or folder, male (Percentage)",A: Annual,2016,27.5
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),KAZ: Kazakhstan,G04_04_01: 4.4.1 - ICT skills,"6151_443: Youth and adults with ICT skills, copying or moving a file or folder, male (Percentage)",A: Annual,2017,25.9
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),GEO: Georgia,G04_04_01: 4.4.1 - ICT skills,"6140_443: Youth and adults with ICT skills, connecting and installing new devices, both sexes (Percentage)",A: Annual,2016,21.1
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),GEO: Georgia,G04_04_01: 4.4.1 - ICT skills,"6140_443: Youth and adults with ICT skills, connecting and installing new devices, both sexes (Percentage)",A: Annual,2017,17.1
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),TUR: Turkey,G04_04_01: 4.4.1 - ICT skills,"6147_443: Youth and adults with ICT skills, transferring files between a computer and other devices, female (Percentage)",A: Annual,2016,23.8
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),TUR: Turkey,G04_04_01: 4.4.1 - ICT skills,"6147_443: Youth and adults with ICT skills, transferring files between a computer and other devices, female (Percentage)",A: Annual,2017,29.1
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),PAK: Pakistan,G04_04_01: 4.4.1 - ICT skills,"6123_443: Youth and adults with ICT skills, using basic arithmetic formula in a spreadsheet, female (Percentage)",A: Annual,2016,1.3
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),KAZ: Kazakhstan,G04_04_01: 4.4.1 - ICT skills,"6144_443: Youth and adults with ICT skills, finding, downloading, installing and configuring software, female (Percentage)",A: Annual,2015,9.6
ESCAP:DF_ESCAP_SDG_Dataflow(1.0),KAZ: Kazakhstan,G04_04_01: 4.4.1 - ICT skills,"6144_443: Youth and adults with ICT skills, finding, downloading, installing and configuring software, female (Percentage)",A: Annual,2016,11.3
